current_date,sale_id,product_id,product_name,price
2026-07-28,1,P005,Mobile Phone Case,15
2026-07-28,2,P001,Wireless Headphones,100
2026-07-28,3,P001,Wireless Headphones,100
2026-07-28,4,P006,Wireless Mouse,30
2026-07-28,5,P006,Wireless Mouse,30
2026-07-28,6,P003,Bluetooth Speaker,50
2026-07-28,7,P004,USB Flash Drive,20
2026-07-28,8,P007,Laptop Stand,40
2026-07-28,9,P005,Mobile Phone Case,15
2026-07-28,10,P006,Wireless Mouse,30
2026-07-28,11,P004,USB Flash Drive,20
2026-07-28,12,P006,Wireless Mouse,30
2026-07-28,13,P007,Laptop Stand,40
2026-07-28,14,P004,USB Flash Drive,20
2026-07-28,15,P005,Mobile Phone Case,15
2026-07-28,16,P010,External Hard Drive,100
2026-07-28,17,P010,External Hard Drive,100
2026-07-28,18,P004,USB Flash Drive,20
2026-07-28,19,P009,Smartphone,600
2026-07-28,20,P001,Wireless Headphones,100
2026-07-28,21,P008,HDMI Cable,15
2026-07-28,22,P007,Laptop Stand,40
2026-07-28,23,P007,Laptop Stand,40
2026-07-28,24,P003,Bluetooth Speaker,50
2026-07-28,25,P007,Laptop Stand,40
2026-07-28,26,P003,Bluetooth Speaker,50
2026-07-28,27,P002,Laptop Backpack,60
2026-07-28,28,P001,Wireless Headphones,100
2026-07-28,29,P004,USB Flash Drive,20
2026-07-28,30,P006,Wireless Mouse,30
2026-07-28,31,P002,Laptop Backpack,60
2026-07-28,32,P003,Bluetooth Speaker,50
2026-07-28,33,P008,HDMI Cable,15
2026-07-28,34,P004,USB Flash Drive,20
2026-07-28,35,P009,Smartphone,600
2026-07-28,36,P001,Wireless Headphones,100
2026-07-28,37,P003,Bluetooth Speaker,50
2026-07-28,38,P006,Wireless Mouse,30
2026-07-28,39,P008,HDMI Cable,15
2026-07-28,40,P004,USB Flash Drive,20
2026-07-28,41,P009,Smartphone,600
2026-07-28,42,P008,HDMI Cable,15
2026-07-28,43,P006,Wireless Mouse,30
2026-07-28,44,P005,Mobile Phone Case,15
2026-07-28,45,P005,Mobile Phone Case,15
2026-07-28,46,P001,Wireless Headphones,100
2026-07-28,47,P002,Laptop Backpack,60
2026-07-28,48,P005,Mobile Phone Case,15
2026-07-28,49,P002,Laptop Backpack,60
2026-07-28,50,P009,Smartphone,600
2026-07-28,51,P002,Laptop Backpack,60
2026-07-28,52,P001,Wireless Headphones,100
2026-07-28,53,P006,Wireless Mouse,30
2026-07-28,54,P008,HDMI Cable,15
2026-07-28,55,P006,Wireless Mouse,30
2026-07-28,56,P010,External Hard Drive,100
2026-07-28,57,P002,Laptop Backpack,60
2026-07-28,58,P008,HDMI Cable,15
2026-07-28,59,P002,Laptop Backpack,60
2026-07-28,60,P001,Wireless Headphones,100
2026-07-28,61,P008,HDMI Cable,15
2026-07-28,62,P008,HDMI Cable,15
2026-07-28,63,P006,Wireless Mouse,30
2026-07-28,64,P006,Wireless Mouse,30
2026-07-28,65,P002,Laptop Backpack,60
2026-07-28,66,P004,USB Flash Drive,20
2026-07-28,67,P005,Mobile Phone Case,15
2026-07-28,68,P001,Wireless Headphones,100
2026-07-28,69,P010,External Hard Drive,100
2026-07-28,70,P001,Wireless Headphones,100
2026-07-28,71,P003,Bluetooth Speaker,50
2026-07-28,72,P001,Wireless Headphones,100
2026-07-28,73,P003,Bluetooth Speaker,50
2026-07-28,74,P010,External Hard Drive,100
2026-07-28,75,P008,HDMI Cable,15
2026-07-28,76,P004,USB Flash Drive,20
2026-07-28,77,P006,Wireless Mouse,30
2026-07-28,78,P005,Mobile Phone Case,15
2026-07-28,79,P001,Wireless Headphones,100
2026-07-28,80,P009,Smartphone,600
2026-07-28,81,P009,Smartphone,600
2026-07-28,82,P010,External Hard Drive,100
2026-07-28,83,P008,HDMI Cable,15
2026-07-28,84,P006,Wireless Mouse,30
2026-07-28,85,P004,USB Flash Drive,20
2026-07-28,86,P002,Laptop Backpack,60
2026-07-28,87,P001,Wireless Headphones,100
2026-07-28,88,P003,Bluetooth Speaker,50
2026-07-28,89,P003,Bluetooth Speaker,50
2026-07-28,90,P001,Wireless Headphones,100
2026-07-28,91,P004,USB Flash Drive,20
2026-07-28,92,P005,Mobile Phone Case,15
2026-07-28,93,P010,External Hard Drive,100
2026-07-28,94,P001,Wireless Headphones,100
2026-07-28,95,P006,Wireless Mouse,30
2026-07-28,96,P006,Wireless Mouse,30
2026-07-28,97,P002,Laptop Backpack,60
2026-07-28,98,P002,Laptop Backpack,60
2026-07-28,99,P010,External Hard Drive,100
2026-07-28,100,P004,USB Flash Drive,20
2026-07-28,101,P005,Mobile Phone Case,15
2026-07-28,102,P010,External Hard Drive,100
2026-07-28,103,P001,Wireless Headphones,100
