current_date,sale_id,product_id,name,price
7/28/2026,1,P005,Mobile Phone Case,15
7/28/2026,2,P001,Wireless Headphones,100
7/28/2026,3,P001,Wireless Headphones,100
7/28/2026,4,P006,Wireless Mouse,30
7/28/2026,5,P006,Wireless Mouse,30
7/28/2026,6,P003,Bluetooth Speaker,50
7/28/2026,7,P004,USB Flash Drive,20
7/28/2026,8,P007,Laptop Stand,40
7/28/2026,9,P005,Mobile Phone Case,15
7/28/2026,10,P006,Wireless Mouse,30
7/28/2026,11,P004,USB Flash Drive,20
7/28/2026,12,P006,Wireless Mouse,30
7/28/2026,13,P007,Laptop Stand,40
7/28/2026,14,P004,USB Flash Drive,20
7/28/2026,15,P005,Mobile Phone Case,15
7/28/2026,16,P010,External Hard Drive,100
7/28/2026,17,P010,External Hard Drive,100
7/28/2026,18,P004,USB Flash Drive,20
7/28/2026,19,P009,Smartphone,600
7/28/2026,20,P001,Wireless Headphones,100
7/28/2026,21,P008,HDMI Cable,15
7/28/2026,22,P007,Laptop Stand,40
7/28/2026,23,P007,Laptop Stand,40
7/28/2026,24,P003,Bluetooth Speaker,50
7/28/2026,25,P007,Laptop Stand,40
7/28/2026,26,P003,Bluetooth Speaker,50
7/28/2026,27,P002,Laptop Backpack,60
7/28/2026,28,P001,Wireless Headphones,100
7/28/2026,29,P004,USB Flash Drive,20
7/28/2026,30,P006,Wireless Mouse,30
7/28/2026,31,P002,Laptop Backpack,60
7/28/2026,32,P003,Bluetooth Speaker,50
7/28/2026,33,P008,HDMI Cable,15
7/28/2026,34,P004,USB Flash Drive,20
7/28/2026,35,P009,Smartphone,600
7/28/2026,36,P001,Wireless Headphones,100
7/28/2026,37,P003,Bluetooth Speaker,50
7/28/2026,38,P006,Wireless Mouse,30
7/28/2026,39,P008,HDMI Cable,15
7/28/2026,40,P004,USB Flash Drive,20
7/28/2026,41,P009,Smartphone,600
7/28/2026,42,P008,HDMI Cable,15
7/28/2026,43,P006,Wireless Mouse,30
7/28/2026,44,P005,Mobile Phone Case,15
7/28/2026,45,P005,Mobile Phone Case,15
